Name,WHO Region, Cases - cumulative total , Cases - cumulative total per 100000 population , Cases - newly reported in last 7 days , Cases - newly reported in last 7 days per 100000 population , Cases - newly reported in last 24 hours , Deaths - cumulative total , Deaths - cumulative total per 100000 population , Deaths - newly reported in last 7 days , Deaths - newly reported in last 7 days per 100000 population , Deaths - newly reported in last 24 hours ,,,
Samoa,Western Pacific," 15,183 "," 7,652 ", 49 , 25 , -   , 29 , 15 , -   , -   , -   ,,,
Dominica,Americas," 14,852 "," 20,630 ", -   , -   , -   , 68 , 94 , -   , -   , -   ,,,
Nicaragua,Americas," 14,777 ", 223 , 26 , 0 , 26 , 244 , 4 , -   , -   , -   ,,,
Central African Republic,Africa," 14,712 ", 305 , -   , -   , -   , 113 , 2 , -   , -   , -   ,,,
Monaco,Europe," 13,887 "," 35,386 ", 242 , 617 , 42 , 61 , 155 , 1 , 3 , -   ,,,
Tonga,Western Pacific," 12,439 "," 11,769 ", 57 , 54 , -   , 12 , 11 , -   , -   , -   ,,,
Northern Mariana Islands (Commonwealth of the),Western Pacific," 12,398 "," 21,540 ", 639 ," 1,110 ", -   , 35 , 61 , -   , -   , -   ,,,
Gambia,Africa," 12,028 ", 498 , -   , -   , -   , 368 , 15 , -   , -   , -   ,,,
Greenland,Europe," 11,971 "," 21,086 ", -   , -   , -   , 21 , 37 , -   , -   , -   ,,,
Yemen,Eastern Mediterranean," 11,849 ", 40 , 17 , 0 , 1 ," 2,149 ", 7 , -   , -   , -   ,,,
Vanuatu,Western Pacific," 11,730 "," 3,819 ", 33 , 11 , -   , 14 , 5 , -   , -   , -   ,,,
Saint Martin,Americas," 11,410 "," 29,514 ", 186 , 481 , -   , 46 , 119 , -   , -   , -   ,,,
Sint Maarten,Americas," 10,656 "," 24,850 ", 55 , 128 , 55 , 87 , 203 , -   , -   , -   ,,,
Eritrea,Africa," 9,882 ", 279 , 55 , 2 , -   , 103 , 3 , -   , -   , -   ,,,
Saint Vincent and the Grenadines,Americas," 9,240 "," 8,329 ", 78 , 70 , -   , 115 , 104 , 1 , 1 , -   ,,,
Niger,Africa," 9,104 ", 38 , 4 , 0 , -   , 311 , 1 , -   , -   , -   ,,,
Bonaire,Americas," 9,001 "," 43,036 ", 133 , 636 , 133 , 30 , 143 , -   , -   , -   ,,,
Antigua and Barbuda,Americas," 8,712 "," 8,896 ", 26 , 27 , -   , 144 , 147 , 1 , 1 , -   ,,,
Guinea-Bissau,Africa," 8,400 ", 427 , -   , -   , -   , 171 , 9 , -   , -   , -   ,,,
Comoros,Africa," 8,270 ", 951 , 23 , 3 , -   , 160 , 18 , -   , -   , -   ,,,
Sierra Leone,Africa," 7,722 ", 97 , 4 , 0 , -   , 125 , 2 , -   , -   , -   ,,,
Liberia,Africa," 7,505 ", 148 , -   , -   , -   , 294 , 6 , -   , -   , -   ,,,
American Samoa,Western Pacific," 7,471 "," 13,535 ", 327 , 592 , -   , 33 , 60 , 2 , 4 , -   ,,,
Chad,Africa," 7,427 ", 45 , -   , -   , -   , 193 , 1 , -   , -   , -   ,,,
British Virgin Islands,Americas," 7,131 "," 23,584 ", 190 , 628 , -   , 63 , 208 , -   , -   , -   ,,,
